角色ID,名字,泛用性評估,功能定位與戰術價值,培養建議
074,夢幻天魔・織田信長,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【戰術控場型角色】 擅長以 <使動作停止> 控制 <黑色敵人、惡魔> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
076,アルティメットウィンディα,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <漂浮敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
077,アルティメットサンディアβ,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
084,地龍皇帝ソドム,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
085,聖龍皇帝メギドラ,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
086,竜騎士皇帝バルス,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
087,神龍皇帝かむくら,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,綜合評價極低，幾乎沒有對策性，不推薦抽取及培養。
088,竜戦機皇帝ライデン,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【屬性特化型角色】。 主要針對 <紅色敵人> 發揮特化效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
090,帰化型ニムエ,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【屬性特化型角色】。 主要針對 <紅色敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
091,SSS猿王,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
106,金猿帝のクウγ,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
107,召し猪のカイμ,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【屬性特化型角色】。 主要針對 <漂浮敵人> 發揮特化效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
108,光宝杖のカッパーκ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【戰術控場型角色】 擅長以 <使動作停止> 控制 <漂浮敵人> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
120,ニャイバーン＆アレク,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <黑色敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
125,邪眼竜の武神・伊達政宗,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
126,猛牛の武神・武田信玄,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
135,竜宮超獣キングガメレオン,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【戰術控場型角色】 擅長以 <攻擊力下降> 控制 <黑色敵人、天使> 。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
136,究極勇者ウルトラコスモ,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【戰術控場型角色】 擅長以 <多種控場能力> 控制 <漂浮敵人、天使> 。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
137,爆走兄弟ピーチジャスティス,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
138,ウルトラかさじぞう,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
139,ウルトラかぐやひめ,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【戰術控場型角色】 擅長以 <使動作變慢> 控制 <鋼鐵敵人、天使> 。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
144,ジョイフルねこナース,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
159,毘沙門軍神・上杉謙信,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <黑色敵人> 發揮壓制效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。 擅長以 <打飛敵人> 控制 <黑色敵人> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
160,冥界のXXカリファ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
162,大狂乱のケリ姫,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【戰術控場型角色】 擅長以 <打飛敵人> 控制 <鋼鐵敵人、不死生物> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
169,アタタタアシラン,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【戰術控場型角色】 · 針對多種屬性敵人發揮控場，泛用戰術價值較高。 主要使用 <使動作變慢> 發揮壓制能力。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
170,E・クビランパサラン,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,綜合評價極低，幾乎沒有對策性，不推薦抽取及培養。
171,ムギワラテサラン,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
172,ピカランバララン,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,綜合評價極低，幾乎沒有對策性，不推薦抽取及培養。
175,太平洋の主,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
178,大覇龍皇帝ディオラムス,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【戰術控場型角色】 擅長以 <多種控場能力> 控制 <天使、異星敵人> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
181,謎のネコ耳少女ユキ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <漂浮敵人> 發揮壓制效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。 擅長以 <攻擊力下降> 控制 <漂浮敵人> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
186,革命のハルシュトCC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <鋼鐵敵人> 發揮特化效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
187,コーネリアCC,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
188,休日の騎士様ユーヴェンスCC,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
189,寂救のミスティカCC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <黑色敵人、惡魔> 發揮壓制效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。 擅長以 <使動作變慢> 控制 <黑色敵人、惡魔> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
195,インフェルノ・アキラ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
196,アストロDr.メカ子,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
197,キャットマンライジング,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【戰術控場型角色】 擅長以 <詛咒> 控制 <異星敵人、古代種> 。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
204,豪炎狙撃車ウーウー,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
213,スペクトルキャット,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <紅色敵人、異星敵人> 發揮壓制效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。 擅長以 <使動作變慢> 控制 <紅色敵人、異星敵人> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
223,ゴールデンヒュージハーミットCC,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
224,ゴールデンジュピターCC,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【戰術控場型角色】 擅長以 <多種控場能力> 控制 <異星敵人> 。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
225,ゴールデンモーデンCC,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【戰術控場型角色】 擅長以 <打飛敵人> 控制 <無屬性、異星敵人> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
226,ハイ・ドゥ MK III CC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <漂浮敵人> 發揮壓制效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。 擅長以 <打飛敵人> 控制 <漂浮敵人> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
227,奇術科学者クレイG,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
230,ウィンディスイートα,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <異星敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
231,デビルサンディアβ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <黑色敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
237,軍神オーディンCC,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <天使> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
241,デイダラトゲラン,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,綜合評價極低，幾乎沒有對策性，不推薦抽取及培養。
242,雪妖精のスノーカイμ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
243,サンタのメリークウγ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
258,Gギガントゼウス,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
259,Gパーフェクトアヌビス,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【戰術控場型角色】 擅長以 <打飛敵人> 控制 <不死生物> 。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
260,Gメガロディーテ,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【屬性特化型角色】。 主要針對 <異星敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
262,滅殺ハヤブサ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
270,皇獣ガオウ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <多種屬性敵人> 發揮特化效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
271,狂乱のネコ耳ユキ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <紅色敵人、黑色敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
272,Gテラアマテラス,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <多種屬性敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
273,Gガネーシャエクサ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
275,トロピカルXカリファ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <紅色敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
276,ブライトサマーキャット,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【戰術控場型角色】 擅長以 <多種控場能力> 控制 <黑色敵人、天使> 。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
284,猫拳王パイパイDX,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
287,閃雷輝兵ウイングレイ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <漂浮敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
289,アルティメットまどか,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性特化型角色】。 主要針對 <漂浮敵人、不死生物、古代種> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
290,悪魔ほむら,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【屬性特化型角色】。 主要針對 <紅色敵人、黑色敵人、惡魔> 發揮特化效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
291,さやか＆ネコ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
292,マミ＆ネコ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
303,ネコアイスサキュバス,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
305,極撃滅戦車ギガパルド,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <不死生物、古代種> 發揮壓制效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。 擅長以 <詛咒> 控制 <不死生物、古代種> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
306,極無敵艦隊シーガレオン,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <紅色敵人、不死生物> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
307,極飛行戦艦ボルボンバー,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【戰術控場型角色】 擅長以 <打飛敵人> 控制 <不死生物> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
311,ネコナースサンタマリア,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【戰術控場型角色】 擅長以 <多種控場能力> 控制 <天使、異星敵人、惡魔> 。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
317,Gポセイドラグーン,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
319,白無垢のミタマ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【全能型複合角色】 同時兼具面板、對屬特化與控場機制， 屬於抽到值得優先培養的核心。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
323,超音楽奏サルカニフェス,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【戰術控場型角色】 擅長以 <攻擊力下降> 控制 <天使、不死生物> 。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
327,奇跡の調和メビウス,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <紅色敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
331,上杉謙信・春うらら,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【戰術控場型角色】 擅長以 <多種控場能力> 控制 <天使> 。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
332,極悪道化マッドダック,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
334,皇獣ガオウダーク,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【屬性壓制型角色】。 主要針對 <無屬性> 發揮壓制效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。 擅長以 <多種控場能力> 控制 <無屬性> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
336,竜宮の人魚姫ルリィ,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <紅色敵人、古代種> 發揮特化效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
337,黄金のミイラ姫レイカ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
338,プレミアムケリ姫号CC,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
339,燐火の武神・今川義元,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【屬性特化型角色】。 主要針對 <黑色敵人> 發揮特化效果。 · 輸出和生存兼顧：攻擊與耐久平衡，適合長線壓制與持續推進。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
342,失われし世界のネコ耳ユキ,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,強度偏低，若對部分關卡有特殊對策性，可延後投資。
